dot,base,1,2,3,4,5,6,7,,base,1,2,3,4,5,6,7
10,522,322,262,341,251,250,260,270,,52.2,32.2,26.2,34.1,25.1,25,26,27
20,262,248,246,249,246,243,249,251,,13.1,12.4,12.3,12.45,12.3,12.15,12.45,12.55
30,268,267,259,259,255,252,256,254,,8.933333333,8.9,8.633333333,8.633333333,8.5,8.4,8.533333333,8.466666667
40,270,270,266,269,268,259,257,258,,6.75,6.75,6.65,6.725,6.7,6.475,6.425,6.45
50,284,281,283,285,279,267,266,267,,5.68,5.62,5.66,5.7,5.58,5.34,5.32,5.34
60,293,293,291,297,291,277,273,275,,4.883333333,4.883333333,4.85,4.95,4.85,4.616666667,4.55,4.583333333
70,306,306,306,306,303,283,286,286,,4.371428571,4.371428571,4.371428571,4.371428571,4.328571429,4.042857143,4.085714286,4.085714286
80,317,317,315,316,316,294,288,289,,3.9625,3.9625,3.9375,3.95,3.95,3.675,3.6,3.6125
90,326,328,330,333,326,297,299,302,,3.622222222,3.644444444,3.666666667,3.7,3.622222222,3.3,3.322222222,3.355555556
100,339,341,338,344,338,308,305,305,,3.39,3.41,3.38,3.44,3.38,3.08,3.05,3.05
110,352,353,354,353,350,313,312,315,,3.2,3.209090909,3.218181818,3.209090909,3.181818182,2.845454545,2.836363636,2.863636364
120,363,365,361,363,363,320,319,320,,3.025,3.041666667,3.008333333,3.025,3.025,2.666666667,2.658333333,2.666666667
130,374,376,377,380,374,332,328,330,,2.876923077,2.892307692,2.9,2.923076923,2.876923077,2.553846154,2.523076923,2.538461538
140,386,388,385,392,385,338,339,341,,2.757142857,2.771428571,2.75,2.8,2.75,2.414285714,2.421428571,2.435714286
150,399,401,401,401,398,346,345,345,,2.66,2.673333333,2.673333333,2.673333333,2.653333333,2.306666667,2.3,2.3
160,410,412,409,410,410,358,352,352,,2.5625,2.575,2.55625,2.5625,2.5625,2.2375,2.2,2.2
170,422,423,424,428,421,360,366,368,,2.482352941,2.488235294,2.494117647,2.517647059,2.476470588,2.117647059,2.152941176,2.164705882
180,434,435,433,439,432,374,367,369,,2.411111111,2.416666667,2.405555556,2.438888889,2.4,2.077777778,2.038888889,2.05
190,446,449,448,448,445,377,377,384,,2.347368421,2.363157895,2.357894737,2.357894737,2.342105263,1.984210526,1.984210526,2.021052632
200,458,460,456,457,457,389,385,383,,2.29,2.3,2.28,2.285,2.285,1.945,1.925,1.915
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,Base dot product,2.29,,,2.29,2.3,2.28,2.285,2.285,1.945,1.925,1.915,
,,,,,loop unrolling x2,2.3,,,,,,,,,,,
,,,,,loop unrolling x4,2.28,,,,,,,,,,,
,,,,,loop unrolling x8,2.285,,,,,,,,,,,
,,,,,loop unrolling x10,2.285,,,,,,,,,,,
,,,,,parallelization x2,1.945,,,,,,,,,,,
,,,,,parallelization x5,1.925,,,,,,,,,,,
,,,,,reference association,1.915,,,,,,,,,,,
